"filename","signature"
"NFL Blitz 2001 (USA).z64","3049173B"
"NFL QB Club 2001 (USA).z64","0498E26E"
"NFL Quarterback Club 2000 (USA).z64","09C9EBF2"
"NFL Quarterback Club 98 (USA).z64","079955A7"
"NFL Quarterback Club 99 (USA).z64","EC4D4431"
"NHL 99 (USA).z64","315BD0E7"
"NHL Blades of Steel '99 (USA).z64","AA3B76F1"
"NHL Breakaway 98 (USA).z64","572A9139"
"NHL Breakaway 99 (USA).z64","B04BDBDF"
"Nagano Winter Olympics '98 (USA).z64","0149B304"
"Namco Museum 64 (USA).z64","765D40EF"
"New Tetris, The (USA) (LodgeNet).z64","77B7503A"
"New Tetris, The (USA).z64","FB847357"
"Nightmare Creatures (USA).z64","9908C4C6"
"Nuclear Strike 64 (USA) (1999-09-21) (Beta).z64","913D4687"
"Nuclear Strike 64 (USA) (Beta) (Earlier).z64","92FBE838"
"Nuclear Strike 64 (USA).z64","A2FE0CB3"
"O.D.T. (USA) (En,Fr,Es) (Proto).z64","3F31702C"
"Off Road Challenge (USA).z64","5D49E6D6"
"Ogre Battle 64 - Person of Lordly Caliber (USA) (Rev 1).z64","FB04C6AC"
"Ogre Battle 64 - Person of Lordly Caliber (USA).z64","B372FA05"
"Ogre Battle 64 - Person of Lordly Caliber (USA, Europe) (Rev 1) (Wii Virtual Console).z64","FB04C6AC"
"Olympic Hockey 98 (USA).z64","A5EE8965"
"PGA European Tour (USA).z64","D60FB3E2"
"Paper Mario (USA) (LodgeNet).z64","27816D07"
"Paper Mario (USA).z64","BE5799F3"
"Paperboy (USA).z64","6565B3A3"
"Penny Racers (USA).z64","5A98DE60"
"Perfect Dark (USA) (2000-03-22) (Debug).z64","FE737167"
"Perfect Dark (USA) (Rev 1).z64","BC576A02"
"Perfect Dark (USA).z64","4A30A808"
"Pilotwings 64 (USA) (LodgeNet).z64","435F3E5C"
"Pilotwings 64 (USA).z64","71D82DC2"
"Pokemon Puzzle League (USA) (Wii Virtual Console).z64","77A46B7C"
"Pokemon Puzzle League (USA).z64","77A46B7C"
"Pokemon Snap (USA) (LodgeNet).z64","CA96551B"
"Pokemon Snap (USA).z64","DDA4B861"
"Pokemon Snap Station (USA) (Demo) (Kiosk).z64","AA8F53F8"
"Pokemon Stadium (USA) (Rev 1).z64","2D0F5798"
"Pokemon Stadium (USA) (Rev 2).z64","E23B1AFC"
"Pokemon Stadium (USA).z64","4E6866EC"
"Pokemon Stadium 2 (USA).z64","DD37743A"
"Polaris SnoCross (USA).z64","F7A5D91B"
"Power Rangers - Lightspeed Rescue (USA).z64","BF3C8A26"
"Powerpuff Girls, The - Chemical X-Traction (USA) (Beta) (2001-09-27).z64","C120C16A"
"Powerpuff Girls, The - Chemical X-Traction (USA).z64","469CAAD8"
"Quake (USA).z64","A5AC98E4"
"Quake II (USA).z64","37579204"
"Quest 64 (USA).z64","9009A21A"
"RR64 - Ridge Racer 64 (USA).z64","838FADD3"
"Rally Challenge 2000 (USA).z64","EAD8D623"
"Rampage - World Tour (USA).z64","86766168"
"Rampage 2 - Universal Tour (USA) (LodgeNet).z64","7126C1D1"
"Rampage 2 - Universal Tour (USA).z64","796528C0"
"Rat Attack! (USA).z64","D5C471B2"
"Rayman 2 - The Great Escape (USA) (En,Fr,De,Es,It).z64","E487FEF7"
"Razor Freestyle Scooter (USA).z64","8B30B5A2"
"Re-Volt (USA).z64","C88D19DA"
"Ready 2 Rumble Boxing (USA) (LodgeNet).z64","29D587F4"
"Ready 2 Rumble Boxing (USA).z64","D51D95F6"
"Ready 2 Rumble Boxing - Round 2 (USA).z64","E34100CB"
"Resident Evil 2 (USA) (Rev 1).z64","29F97010"
"Resident Evil 2 (USA).z64","B4647966"
"Road Rash 64 (USA) (Beta 1).z64","D5824FD8"
"Road Rash 64 (USA) (Beta 2).z64","5DF296C3"
"Road Rash 64 (USA).z64","94329154"
"Roadsters (USA) (En,Fr,Es).z64","E30ED745"
"Robotech - Crystal Dreams (USA) (Proto 1).z64","2AE5889E"
"Robotech - Crystal Dreams (USA) (Proto 2).z64","79F7EB16"
"Robotron 64 (USA).z64","40BB5E42"
"Rocket - Robot on Wheels (USA).z64","9F9267A7"
"Rugrats - Scavenger Hunt (USA) (Beta) (1999-04-02).z64","41FE78A3"
"Rugrats - Scavenger Hunt (USA).z64","33B6A071"
"Rugrats in Paris - The Movie (USA).z64","7809ED5D"
"Rush 2 - Extreme Racing USA (Europe) (En,Fr,De,Es,It,Nl).z64","29171592"
"Rush 2 - Extreme Racing USA (USA) (LodgeNet).z64","C01944AF"
"Rush 2 - Extreme Racing USA (USA).z64","431A0DF7"
"S.C.A.R.S. (USA).z64","B98E996C"
"San Francisco Rush - Extreme Racing (USA) (En,Fr,De) (Rev 1).z64","5D505FFA"
"San Francisco Rush - Extreme Racing (USA) (En,Fr,De).z64","44FC8855"
"San Francisco Rush 2049 (USA).z64","8B0F5E93"
"Scooby-Doo! - Classic Creep Capers (USA) (Rev 1).z64","6839C119"
"Scooby-Doo! - Classic Creep Capers (USA).z64","DBCFD54B"
"Sesame Street - Elmo's Letter Adventure (USA).z64","AD282848"
"Sesame Street - Elmo's Number Journey (USA).z64","FBE8C879"
"Shadow Man (USA).z64","7FD2D858"
"Shadowgate 64 - Trials of the Four Towers (USA) (En,Es) (Beta).z64","4CBC2623"
"Shadowgate 64 - Trials of the Four Towers (USA) (En,Es).z64","8DECD965"
"SimCopter 64 (USA) (Proto).z64","080E53F7"
"Snowboard Kids (USA).z64","D30CA662"
"Snowboard Kids 2 (USA).z64","3D9CD3DD"
"South Park (USA).z64","72EBD4E4"
"South Park - Chef's Luv Shack (USA).z64","BCF9DAB5"
"South Park Rally (USA) (Beta) (2000-01-14).z64","F837ED10"
"South Park Rally (USA) (Beta) (2000-01-27).z64","308E7B09"
"South Park Rally (USA).z64","B908E90C"
"Space Invaders (USA).z64","06F96131"
"SpaceStation Silicon Valley (USA) (Rev 1).z64","BD59DD9A"
"SpaceStation Silicon Valley (USA).z64","4DFCB246"
"Spider-Man (USA).z64","E5CDED18"
"Star Fox 64 (USA) (LodgeNet).z64","562775E9"
"Star Fox 64 (USA) (Rev 1).z64","AC2673FE"
"Star Fox 64 (USA).z64","B04B4109"
"Star Soldier - Vanishing Earth (USA).z64","BA7F5A1A"
"Star Wars - Rogue Squadron (USA) (LodgeNet).z64","8C914CFE"
"Star Wars - Rogue Squadron (USA) (Rev 1).z64","F966C152"
"Star Wars - Rogue Squadron (USA).z64","437B3EE6"
"Star Wars - Shadows of the Empire (USA) (Aftermarket) (Unl).z64","8D674C7E"
"Star Wars - Shadows of the Empire (USA) (Beta) (1996-10-15).z64","1A7371C5"
"Star Wars - Shadows of the Empire (USA) (Rev 1).z64","175E4203"
"Star Wars - Shadows of the Empire (USA) (Rev 2).z64","8EA56D16"
