"filename","signature"
"Sesame Street - Elmo's Number Journey (NTSC)","FBE8C879"
"Shadow Man (NTSC)","7FD2D858"
"Shadowgate 64 - Trials of the Four Towers (NTSC) (En,Es) (Beta)","4CBC2623"
"Shadowgate 64 - Trials of the Four Towers (NTSC) (En,Es)","8DECD965"
"SimCopter 64 (NTSC) (Proto)","080E53F7"
"Snowboard Kids (NTSC)","D30CA662"
"Snowboard Kids 2 (NTSC)","3D9CD3DD"
"South Park (NTSC)","72EBD4E4"
"South Park - Chef's Luv Shack (NTSC)","BCF9DAB5"
"South Park Rally (NTSC) (Beta) (2000-01-14)","F837ED10"
"South Park Rally (NTSC) (Beta) (2000-01-27)","308E7B09"
"South Park Rally (NTSC)","B908E90C"
"Space Invaders (NTSC)","06F96131"
"SpaceStation Silicon Valley (NTSC) (Rev 1)","BD59DD9A"
"SpaceStation Silicon Valley (NTSC)","4DFCB246"
"Spider-Man (NTSC)","E5CDED18"
"Star Fox 64 (NTSC) (LodgeNet)","562775E9"
"Star Fox 64 (NTSC) (Rev 1)","AC2673FE"
"Star Fox 64 (NTSC)","B04B4109"
"Star Soldier - Vanishing Earth (NTSC)","BA7F5A1A"
"Star Wars - Rogue Squadron (NTSC) (LodgeNet)","8C914CFE"
"Star Wars - Rogue Squadron (NTSC) (Rev 1)","F966C152"
"Star Wars - Rogue Squadron (NTSC)","437B3EE6"
"Star Wars - Shadows of the Empire (NTSC) (Aftermarket) (Unl)","8D674C7E"
"Star Wars - Shadows of the Empire (NTSC) (Beta) (1996-10-15)","1A7371C5"
"Star Wars - Shadows of the Empire (NTSC) (Rev 1)","175E4203"
"Star Wars - Shadows of the Empire (NTSC) (Rev 2)","8EA56D16"
"Star Wars - Shadows of the Empire (NTSC)","B24E8620"
"Star Wars Episode I - Battle for Naboo (NTSC) (Beta)","03A5CF0F"
"Star Wars Episode I - Battle for Naboo (NTSC)","1558821A"
"Star Wars Episode I - Racer (NTSC) (Aftermarket) (Unl)","D9596155"
"Star Wars Episode I - Racer (NTSC)","C3F94820"
"StarCraft 64 (NTSC) (Beta)","1465FBB1"
"StarCraft 64 (NTSC)","663F3CE1"
"Starshot - Space Circus Fever (NTSC) (En,Fr,Es)","D2AC74FA"
"Stunt Racer 64 (NTSC)","6325FA4B"
"Super Bowling (NTSC)","C8179EF6"
"Super Mario 64 (NTSC) (LodgeNet)","41D7E549"
"Super Mario 64 (NTSC)","B393776D"
"Super Smash Bros. (NTSC) (LodgeNet)","06717FBE"
"Super Smash Bros. (NTSC)","04079B93"
"Supercross 2000 (NTSC)","B7214F05"
"Superman (NTSC) (Beta) (1998-09-06)","F88D7F38"
"Superman - The New Superman Aventures (NTSC) (En,Fr,Es)","F45E7F35"
